Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q4_1,Q27,Q28,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q9_1,Q29,Q30,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q31,Q32,Q14,Q15,Q16
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,provide help with Homework problems,,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,The grading was balanced,go over more example problems,,,,,,,,,,,,,,Watching Youtube Videos,Do more example problems ,
Neutral,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,offer support outside of the class.,hostile environment from professor. Especially when the class did not understand NEW material.,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,When she gave my team and I feedback on how to improve our communication skills.,"Slackers, i mean I would expect more passion especially since we're close to the finish line. But to each their own. ",Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,High expectations.,"That spoonfeeding information is not wrong, in fact its good. We want to learn why and how things work. But that complaint is mostly for one class I wont mention. That was just my worst experience because we were expected to learn on our own. I get most definitely get the idea, but I have work. I am not privileged with bountiful time to research beyond whats expected in that class, when I could just learn it in the class. Most of the classes i have had no problem.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Allowing us time to think and solve the problem first and explain our process. Also appreciate competitive point based systems. For some reason it turns on my head when there is something on the line. I work well with pressure.,"Actually teach, sorry not all of the ECST is like this. Just a few bad experiences, the good shadows the bad by miles.",Tests. By that I mean grading systems based on tests. I hate homework but thats just me I dont want the system to change just for me. Actually... I do. I am worthy of such respect and honor. ,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Allow to ask questions whenever,"Too unstructured, no specific guidelines until the end, not written feedback",Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,How there was time to work on projects and with others during class time,Set deadlines that break up the senior design project into managable pieces with a clear rubric ,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,How we competed with other groups in design,"Have real world examples of specific criteria in advance to prepare how to design certain elementa of the senior design project, also make a design elective and a cad elective a requirement to the senior design course as it is difficult to design something with any prior design expertise or modeling software practice",Working together in groups,Provide a clear schedule of what is due when and the grading rubric of each with feedback given along the way so improvements can be made along the way,"Overall senior design was a great course just need more structure and guidance, requiring at least 1 design course and a cad elective course would make it easier to know at least basic aspects to designing a fully inclusive systemprior "
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"Answering any question regarding the subject at hand, and making an effort to help students understand.",sometimes the topics were explained in a complex standpoint which made it more confusing to understand.,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,N/A.,tests/exams/quizzes shouldn't take a big toll on one's grade if you do well on the majority (80% of them) of the tests/exams/quizzes.,,,,,,,,,,,,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Somewhat disagree,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Show mistakes he has made that we might make too,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,,,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,,,,,We do not need group projects in so many classes. Yes working with others is a necessary skill but it is extremely difficult to find time to work with your group when you all have different schedules and multiple group projects for each class
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,allowing us to ask questions,the co-teaching arrangement,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,that we were able to work on examples together in class,the co-teaching. The teaching in class did not match the grading by the other professor,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,the warm-up questions,consistent feedback with grading,the professor passion for student to understand the subject,keep up to date with grading and feedback,"Overall, the class was well structured and I enjoyed the engaging teaching style. "
Somewhat agree,Strongly disagree,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Something my professor did to make me feel supported was make sure to teach us to his extent. ,Something I didn’t like about the classroom atmosphere was that my professor always had to give a negative answer when we asked what would be on exam . He made the class feel as if we weren’t smart enough or capable enough for his class . ,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Something I most liked about the class organization and structure was that the homework’s were clear.,"Something I think could be improved about the class organization and structure was more notes and more clear . The professor made it seem so messy and his handwriting was sloppy , the whole class struggled ",,,,,,,,,,,,,,,,
Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Asking us questions,How quiet it would be ,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,He alsways care about our oppinions and very patient to answer and explain any question in midle of the lecture.,The class was wonderful and there is nothing to didn't like.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The most I like is the lecture always end with a small quiz. The quiz is motivating us to review the lecture and understand on same day of lecture. ,It could be add another class section. The class is really great but to get a sit in the class was tough. I have to try over 3 semeters to get a sit in this class. why don't we open 1 more class section?  ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The professor always give us time to ask and contribute to the lecture. By giving the responses during the lecture we feel like we are learning not just listening. ,,always review the lecture and try my best to get 100% from the quizs is the best way to success in this class,open more class section.,The most relevant to my experiment in this class is the professor. He knew the best way to teaching and make his student study hard before coming to his lecture. 
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Something my professor did to make me feel supported was ask for a joke every lecture. I always had one to give. ,Something I didn't like about the classroom atmosphere was that the professor would mess up problems that took us like 20-30 minutes. ,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree, Something I most liked about the class organization and structure was the environment. It was easygoing and comfortable. ,"Something I think could be improved about the class organization and structure was the lack of preparedness from the professor. Also, messing up problems was a bit annoying. ",Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Something that I particularly liked that made the class engaging was the teacher always has something interesting to say. ,"Something that could be improved to make the class more engaging is not doing just problems but also, a bit of lecture.",Something that helped me be a successful student in this class was the envirnment. I was comfortable asking questions.,Something I wish my professor had done differently is not make most of the assignments online. Alot of people wouldn't show up. ,
Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"being approachable, encourage class participation, and made me feel heard. ",N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,having all the information and examples on PowerPoints.,providing videos about the topic,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,giving examples using real life experiences,N/A,"studying the powerpoints, taking notes, and completing the assignments on time",N/A,N/A
Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Repeat important pieces of the lecture so that it stuck and made sure we studied because it would be on the exam. I think also embracing technology so that they can make the lecture more fluid and easier to comprehend and take notes. Having clear writing and a detailed,easy to understand and organized why of teaching is the best way for me to learn from what I have experienced.","The professor wings the lecture, refers to text book more than actually teach the material, does not give enough examples to understand the tougher material. Also having an I don't care attitude because I am getting paid anyway mentality is the worst. Making the exams irrelevant to the actual examples of problems discussed in class such as making the exam problems much more difficult than explained in class. Finally, making the student learn on his own so the professor doesn't haven't to prepare a lecture plan and instead just skims over the material the student is supposed to be learning. I had a professor who believed that forcing the student to learn on his own would encourage the student to learn. This section is based on that class.",Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"That my professor was very kind and encouraged communication with him before, during and after the lecture.",I thought it was great. No need to improve. Maybe just continue to be an excellent professor.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The before lecture discussions to share about anything we wanted.,"Don't believe that just because no one answers, that they don't want to communicate, they just are shy and not used to it.",Having the student give examples to the real world and how to apply what we learn.,Nothing,I rely like that my professor actually gave advice and encouraged that we apply what we use in our careers.
Neutral,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,asking everyone to introduce themselves to be a part of the class.,something that I don't recall.,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"perfect in one word, I enjoyed the class.",by adding some more fun activities or games ,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,how involved the instructor was.,,felling comfortable in the classroom.,something i don't agree with,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,ask how we were and if there was something new we wanted to share about ourselves at the start of every class. I would share occasionally but most of the students wouldn't share.,"no one starts talking unless another person on their level, like a student, starts it off first. Which is why I usually try to bring something up, I wouldn't get too personal but I would bring something intresting up that everyone can relate to like during the time I brought up the World Cup even though I had no interest in soccer or sports. I also had brought up a presidential candidate rally that almost went bad, to see what everyone thought about it. But sometimes I would remain silent since I had nothing to share but my own activities and scared  to share since I don't want other students to think I was bragging or trying to be the teacher's pet. ",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,that Professor Ibrahim was really forgiving on our assignments and that we could go at our own pace.,there as not enough time to complete the class since there was very limited time for each class session.,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,"the professor engaged us and told things that could and would happen in the real world application rather than ""theoretically speaking""",to have students come to the board and solve some problems,explaining his methods in a very methodical and detailed way.,use real life applications in lectures and example problems.,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Daily check ins,Nothing. It was damn near perfect ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The real life practicality on what was being taught. Real world examples kept me hooked and eager to learn more,Nothing,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,The check ins and real life practicality,Nothing,Asking questions ,Nothing,
Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,
Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,"Allowing late submissions on quizzes, there were some times that I completely forgot that the quiz was due after class.","The really squeaky chairs, everyone knows when you are trying to get comfortable. Also no breaks, sometimes I need to go to the bathroom but I don't want to miss anything important. ",Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,that the quizzes were correlated to the material that we were learning that day.,Maybe a homework assignment on calculations.,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,the current event check in during the beginning of the class.,Maybe hearing from more professionals in the field.,time managment and excel,more examples for the calculation problems,I enjoyed my experience.
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Always being vocal about concerns or if we had any input that we disagreed with so he can accomodate,everything was great,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,the teacher because he made it easy to break everything down,Nothing its great,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,the teacher,my attention span,the teacher,nothing hes great,
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,providing feedback on assignments and exams.,there could have been a little more student interaction like going up to the whiteboard for examples but overall it is still good.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Showing when certain topics will be taught and when there would be exams.,"Sometimes there can be delays or some topics take longer which push back the schedule but overall, everything is good.",Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Their knowledge in the topic and how they show they love the topics,More interaction in groups and teams for the students,the assignments and also the notes,more student interaction in the class,
Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Neutral,Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat agree,i didint take a class in the spring semsester but i think on a general basis professors try to make it a supporting environment. it just really depends on the student,,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,"Making sure that the topic that was being taught, that everyone understood it and made sure to go over it if someone did not understand it. I also liked that the professor made sure that he checked in on every student to see that they were on track. ","Something I didn't like about the classroom atmosphere was when certain students dominated discussions, making it difficult for others to contribute. This occasionally led to a less inclusive environment where not all voices were equally heard. Also ",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Something that I most liked about the organization and structure was how the quizzes and assignments were already posted on canvas with deadlines. I also like how the grading criteria was structured and well presented at the start of the semester.," Something I think could be improved about the class organization and structure was the pacing of the course. At times, the material felt either too rushed or too slow, which made it challenging to absorb the information effectively. We would be given a group project towards the end of the semester that required more time to finish. ",Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,"Something that I particularly liked that made the class engaging was the use of interactive activities and real-world examples to illustrate key concepts. These approaches made the material more relatable and helped to reinforce my understanding. I also appreciated the opportunities for class discussions and group work, which allowed for diverse perspectives and collaborative learning.","Something that could be improved to make the class more engaging is incorporating more varied teaching methods, activities that required students to engage with each other, guest speakers. Aditionally increasing student participation by making the learning experience more dynamic and engaging.  ","Something that helped me be a successful student in this class was the availability of clear and well-organized study resources, such as detailed lecture notes and recorded sessions, which allowed me to review the material at my own pace. ", Something I wish my professor had done differently is provide more opportunities for formative assessments or low-stakes quizzes throughout the semester. This would have allowed for regular self-assessment and better preparation for major exams. ,"Overall, I found the class to be valuable and informative, but there were a few areas for potential enhancement. "
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree, , ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree, , ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,  ,  ,  ,   ,   
Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neutral,Ask about our day ,It was everything we should already know therefore they don’t re review ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Make themselves available for discussion and assistance. Answered questions posed by students with considerable thought and sincerity ,The tendency to fall into a cycle of looking at slides that repeat the textbook just to be told to read the textbook,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,A clear and easy to follow rubric ,When the rubric is either limited in information or not well followed,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,Somewhat agree,The discussion of real world applications of the material we were learning sparked engagement from many in the class and the professor,Develop class plans that involve more interactive work as opposed to simple letters and practice problems,Reading the textbook and using knowledge from prior prerequisite classes,Lecture in a way that avoided over reliance on the textbook,
Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Strongly agree,,,,,
Neutral,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,giving us clear instructions on certain computer programs and tasks that are needed to do to help us learn more about computer science,not really being clear in assignments and quizzes and needing to spend more time helping us,Neutral,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,providing some assignments with videos of examples of what to do for some of them,having students work with each other and learning on how to do certain assignments,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,Neutral,"Honestly, I don't really think the class was engaging to me.",helping provide my resources and examples that are directly related to the assignments and quizzes so we can understand them better,,,
Somewhat disagree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,,,Neutral,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,,For the professor to have notes instead of going over slides. To do more examples in class step by step,Watch YouTube videos about the course,Provide us notes and feedback on assignments,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,explain the topic,the professor not have clear ongerzation the topic what will go next. too messy topic,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,the topic will be cover,more practice problem,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,extra credit,profesoor enegry like knwan professor,home work,ogernization,
