Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q12,Q16
Very important,Extremely important,Extremely important,Very important,Very important,,Extremely important,Extremely important,Extremely important,Very important,Extremely important,"communication, professionalism, respect for each other, and enjoyment of learning in the class. The mood and vibe of the class also increases the indication of learning from student and teachers",Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Moderately important,,
Moderately important,Very important,Extremely important,Moderately important,Very important,Be a available in class and in some capacity out of class to answer questions and spur excitement in their field ,Very important,Very important,Extremely important,Extremely important,Very important,Transparency in the professor's handling of all paperwork and course planning,Extremely important,Very important,Moderately important,Very important,Extremely important,Very important,Very important,"Create opportunities to discuss and apply knowledge gained in projects, either solo or in groups. ",Understanding boundaries and being able to read a room is also important for a professor to be able to effectively communicate with a group of students 
Very important,Extremely important,,Extremely important,Extremely important,Give me positive feedback,Extremely important,Very important,Extremely important,Extremely important,Very important,Communication,Moderately important,Extremely important,Moderately important,Extremely important,Moderately important,Extremely important,Moderately important,to go over in-class examples similar to the homework/ exam,Encouraging students to go over assignments during class 
Moderately important,Moderately important,Very important,Moderately important,Moderately important,,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,
Slightly important,Extremely important,Very important,Slightly important,Slightly important,"help me understand many of the homework assignments and quizzes, whether I get them right or not so I will be able to learn from them and gain knowledge for future assignments and quizzes.",Very important,Extremely important,Extremely important,Extremely important,Slightly important,to help every student understand all of the assignment and quizzes and can help students when they are having trouble understanding them.,Not at all important,Slightly important,Extremely important,Not at all important,Extremely important,Extremely important,Moderately important,help me step by step on certain assignments and quizzes and is willing to help me in class or office hours so I can understand what to do,
Moderately important,Extremely important,Extremely important,Very important,Very important,"Being kinds, understanding, patient, and supportive",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Thorough explanation of example problems that will help us complete our assignments as well as exams being one the material covered in class,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Having in-class practice on the topics covered ,Professors shouldn't make the students feel incompetent nor should they talk down to students since the first day of the semester.
Extremely important,Very important,Moderately important,Extremely important,Very important,having a great feed back on errors made in clas,Moderately important,Very important,Extremely important,Very important,Very important,having a visual representation of the material.,Moderately important,Extremely important,Very important,Moderately important,Extremely important,Slightly important,Slightly important,having a class exercise where the whole class makes a solution ,
Slightly important,Extremely important,Extremely important,Moderately important,Slightly important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Very important,Very important,Not at all important,Very important,Moderately important,Very important,Moderately important,,
Very important,Very important,Very important,Very important,Very important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Moderately important,Moderately important,Very important,Slightly important,Moderately important,be able to respond asap when I ask,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Grade completion,Moderately important,Moderately important,Very important,Very important,Moderately important,Moderately important,Moderately important,Talk about interesting topics,
Extremely important,Extremely important,Extremely important,Extremely important,Very important,Help me with any questions I have and makes learning easy for me,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Moderately important,Very important,Very important,Very important,Very important,do daily check-ins with the homework or if anyone needs help with anything. ,Very important,Very important,Extremely important,Extremely important,Very important,being provided information that can help us throughout the course,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,being organized and showing us good vibes throughout teaching us. ,
Moderately important,Very important,Extremely important,Moderately important,Not at all important,helping make sure the students thoroughly understand the concept material,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,knowing what to expect with assignments and lessons with no surprise quizzes or disorderly lessons.,Very important,Very important,Moderately important,Very important,Very important,Extremely important,Extremely important,"have class group games, conduct in-class experiments, and relate the concepts to the real world.",
Moderately important,Extremely important,Extremely important,Very important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Moderately important,Very important,Moderately important,Extremely important,Very important,Extremely important,Extremely important,,
Moderately important,Extremely important,Extremely important,Slightly important,Slightly important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,,
Extremely important,Very important,Very important,Very important,Moderately important,,Extremely important,Extremely important,Very important,Very important,Extremely important,,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Very important,Extremely important,Moderately important,Extremely important,Very important,Extremely important,Extremely important,,
Not at all important,Very important,Not at all important,Slightly important,Not at all important,encouraging us to ask questions.,Moderately important,Extremely important,Very important,Very important,Very important,"having a set agenda for what we do each week, how much time we spend on the topic, and what the assignment will be",Very important,Extremely important,Moderately important,Extremely important,Extremely important,Very important,Very important,show us how to do a problem with the concept we have learned and sound exciting.,
Moderately important,Slightly important,Not at all important,Slightly important,Not at all important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Very important,,
Extremely important,Extremely important,Very important,Extremely important,Moderately important,Talk with me ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Stay quite ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Explain with real life examples,When a student feels free to ask any questions 
Slightly important,Very important,Very important,Very important,Extremely important,to understand that sometimes it is difficult for someone to keep pace with the whole class.,Extremely important,Very important,Extremely important,Extremely important,Extremely important,the perfection and grip of each student in that course.,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,through exempting unnecessary hard exams and therefore exam pressure from his respective course.,"A healthy classroom is a place where student learn and gain knowledge through flexible and easy approach, I think exams cause distress sometimes and give birth to the urge of doing more."
Moderately important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,
Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,them having fun,Very important,Very important,Moderately important,Very important,Moderately important,clear explanation for assignments.,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,1 on 1 conversation,nothing I can think of
Moderately important,Extremely important,Extremely important,Very important,Slightly important,help me in any way they can if I am struggling with course materials or concepts. ,Extremely important,Extremely important,Very important,Extremely important,Extremely important,"knowing what, when, and how assignments need to be completed",Moderately important,Moderately important,Very important,Extremely important,Extremely important,Extremely important,Very important,try different teaching methods and provide us with as much real-world applications as possible. ,It is important to feel like I can ask my professors anything and to know they treat everyone fairly.  
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,"For some more work intense assignments, I wish some professors would give us more time to complete them. This is so critical when we work and go to school full-time."
Very important,Very important,Very important,Very important,Very important,"The most important thing(s) my professor can do to make me feel supported is... feeling free to help us anytime we want, whether it's homework, assignments or projects we do. ",Very important,Very important,Very important,Very important,Very important,"The most important feature(s) of a well-organized and well-structured class is...clear rules and expectations, and established routines for student work.",Very important,Very important,Very important,Very important,Very important,Very important,Very important,"Use storytelling, Technology or any other activities they deserve. ",n/a
Very important,Extremely important,Extremely important,Very important,Extremely important,Being patient And understanding that we all learn differently and by taking the time to understand that and by supplementing us with different methods and tools for learning,,,,,,Clear and concise agenda for the day ,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Humor,"A professor that does that nag us and say things like “you guys are illiterate”, when we’re all putting our best foot forward to be talked down on when we have questions "
Moderately important,Extremely important,Very important,Extremely important,Moderately important,Convey to the class that he understands late assignments and will reopen them if we need more time only if we ask him to and also try’s to get the class to participate often and also allows us to work on hw in class so if we need help he can help us . ,Very important,Extremely important,Extremely important,Very important,Extremely important,A class syllabus and canvas website that is well organized and that has all due dates posted for all assignments the student is expected to do along with extra help sections in case we struggle with anything.,Very important,Moderately important,Extremely important,Extremely important,Moderately important,Extremely important,Moderately important,To interact with the students and take the time to care for their students by checking in .,A professional professor that does not let ego get in the way how some STEM professors do and doesn’t expect their students to already know everything. 
Moderately important,Moderately important,Very important,Moderately important,Slightly important,,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,Slightly important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,
Extremely important,Very important,Extremely important,Extremely important,Extremely important,,Extremely important,Very important,Moderately important,Extremely important,Moderately important,,Very important,Extremely important,Very important,Very important,Moderately important,Very important,Moderately important,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,The most important things my professor can do to make me feel supported is if he/she would provide more office hours for us to go.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,The most important festures of a well-organized and well-structured class is when there is a professor who explains everything well as well as everything to have a nice flow.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"The most important thing my professor can do to make the course exciting, engaging, and interactive for me is to do plenty of activities regarding solving problems and doing recapitulations on our notes to better prepare for quizzes and exams.",n/a
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,By reaching out to me whenever I’m feeling confused or puzzled in a certain situation. ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,It conducts itself in a well fair manner respecting each of our strengths and weaknesses we bring in the table. ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,By adding their own sense of humor and fun even if it won’t be applicable to mine.,Everyone is treated the way we all want to be treated which is with respect and dignity. 
Moderately important,Extremely important,Extremely important,Very important,Moderately important,By listening to feedback of what helps me and my peers best learn the content in our class.,Very important,Extremely important,Very important,Moderately important,Very important,Giving clear and concise directions of what is expected of students.,Moderately important,Extremely important,Moderately important,Very important,Moderately important,Extremely important,Very important,Allowing me and other students to try examples of problems in class on our own that might be seen in upcoming exams.,
Very important,Extremely important,Very important,Slightly important,Moderately important,never say students who don't speak up in class don't want to learn. Social anxiety is real and terrifying.,Very important,Extremely important,Very important,Moderately important,Very important,a professor who is prepared for the day's topic.,Moderately important,Moderately important,Not at all important,Moderately important,Very important,Extremely important,Slightly important,use real world examples that will likely come up during our future careers.,I cannot stress enough the importance of understanding social anxiety and the fear of speaking up in class.
Moderately important,Extremely important,Extremely important,Very important,Very important,ask the class if they are keeping up with the material and WHAT THEY WANT US TO COVER FOR TESTS OR IN GENERAL,Extremely important,Extremely important,Very important,Very important,Extremely important,the teacher properly communicating what they expect us to learn and providing us the pathway to reach that standard they expect. ,Moderately important,Extremely important,Moderately important,Moderately important,Very important,Very important,Extremely important,to provide either notes or a lecture that encourages a student to try to come to a conclusion themselves and then they clear up any difficulty.,"not singling out students, providing an environment where everyone one CAN try their best. "
Moderately important,Moderately important,Very important,Very important,Moderately important,,Very important,Very important,Very important,Moderately important,Very important,,,,,,,,,,
Very important,Extremely important,Very important,Moderately important,Extremely important,"offer help outside of the classroom, offer to give letters of recommendations, and give lots of feedback",Very important,Extremely important,Extremely important,Extremely important,Moderately important,"that the grading form the teacher is based on not the hours it took for you to complete your work or how much work, but the effort or amount that you know how to do after the teacher has given their lecture on the subject",,,,,,,,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Professor Michael Ibrahim is an exceptional educator whose deep expertise and engaging teaching style greatly enhance the learning experience. His ability to make complex concepts accessible and his commitment to student success are truly commendable. His dedication to both research and mentorship makes him a valuable asset to the academic community.,Extremely important,Extremely important,,Extremely important,Extremely important,Professor Michael Ibrahim is an exceptional educator whose deep expertise and engaging teaching style greatly enhance the learning experience. His ability to make complex concepts accessible and his commitment to student success are truly commendable. His dedication to both research and mentorship makes him a valuable asset to the academic community.,,,,,,,,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Professor Michael Ibrahim is an exceptional educator whose deep expertise and engaging teaching style greatly enhance the learning experience. His ability to make complex concepts accessible and his commitment to student success are truly commendable. His dedication to both research and mentorship makes him a valuable asset to the academic community.,,,,,,,,,,,,,,,
Moderately important,Very important,Very important,Slightly important,Moderately important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,
Slightly important,Slightly important,Slightly important,Moderately important,Moderately important,"Communicate with me, be on time, show that you respect your students. ",Extremely important,Extremely important,Very important,Very important,Extremely important,Clearly defined goals and grading schemes. ,,,,,,,,,
Very important,Extremely important,Extremely important,Extremely important,Extremely important,Not pushing me away if my answer seems like I am not ready for the class. Be patient to a certain extent and guide me don’t just simply give up on me ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Communication ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Group work/exams,
Extremely important,Extremely important,Extremely important,Extremely important,Very important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Slightly important,Moderately important,Very important,Very important,Moderately important,Taking the time to repeat and simplified the lesson or any issues I face. As well as being able to physically show us how to complete and assignment and then allow us immediately  after to practice on those skills ,Very important,Extremely important,Very important,Moderately important,Extremely important,is the professor leading by example. Providing high energy enviroments,Very important,Very important,Very important,Extremely important,Extremely important,Very important,Extremely important,"is coming to class with high energy intentions , involving everyone and having interactive assignments","outside lighting , natural sunlight that enter through windows ."
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,to include every student in the class.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,feedback in every class.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,to ask us to work in groups.,
Very important,Extremely important,Very important,Extremely important,Extremely important,,,,,,,,,,,,,,,,
Moderately important,Very important,Very important,Very important,Very important,,Very important,Extremely important,Extremely important,Extremely important,Extremely important,,Moderately important,Extremely important,Very important,Very important,Very important,Extremely important,Very important,,
Very important,Very important,Very important,Moderately important,Slightly important,,Extremely important,Extremely important,Extremely important,Extremely important,Very important,,Very important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,,
Very important,Moderately important,Extremely important,Moderately important,Moderately important,,,,,,,,,,,,,,,,
Slightly important,Moderately important,Moderately important,Moderately important,Moderately important,listen to feedback,Very important,Very important,Very important,Very important,Very important,a clear schedule that is followed properly,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,explaining how it applies or has applied in their own work experience,N/A
Moderately important,Very important,Very important,Very important,Very important,remember who we are and memorize are names somewhat,Very important,Very important,Very important,Extremely important,Extremely important,grade us accordingly and let us know what we are doing wrong,Very important,Very important,Very important,Very important,Very important,Very important,Very important,talk about personal experiences (most professors I have already do this) ,maintain the class heavily engaged in what they are talking about or what they are trying to show us
Moderately important,Slightly important,Slightly important,Slightly important,Slightly important,Be understanding as possible,Very important,Very important,Very important,Very important,Very important,"A well explained and simple assignments, quizzes and tests.",Moderately important,Very important,Very important,Moderately important,Very important,Very important,Very important,make the assignments and learning simple and easy to understand whether its through kahoot quizs or study group days  ,
Slightly important,Moderately important,Very important,Very important,Moderately important,teach,Moderately important,Very important,Moderately important,Very important,Moderately important,money,Moderately important,Very important,Moderately important,Very important,Moderately important,Very important,Moderately important,hands on work,A working A/C this is a health risk fix it now broke boys
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,The most important thing my professor can do to make me feel supported is facilitate the class subject through discussions in class. ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,chapter based modules to stay on track.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,creating in class activities with the collaboration of classmates.  ,
Very important,Extremely important,Extremely important,Very important,Moderately important,by making the classroom feel like a community and not just teach lessons,Very important,Very important,Extremely important,Very important,Very important,clearly explains what is happening in the class,Very important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Very important,having a positive energy when teaching and relating course material to real life examples ,Students also need to be willing to participate so it is not all on the professor.
Very important,Extremely important,Extremely important,Extremely important,Extremely important,continue to ask questions to make sure things are clear,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,consistency ,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Very important,is to use real-world applications that ties in to what we are learning.,Step by step lessons as well as many real world examples. 
Moderately important,Very important,Very important,Very important,Very important,To support or give positive feedback when answering a question out loud to the class.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,A criteria or agenda for the whole semester. ,Very important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Engaging with the class and use examples that most students can relate to.,I believe every teacher should try to bring a positive attitude in the class to make students feel welcomed and ready to learn.
Slightly important,Very important,Moderately important,Moderately important,Moderately important,,Very important,Very important,Very important,Very important,Very important,a good syllabus ,Moderately important,Moderately important,Extremely important,Very important,Very important,Moderately important,Very important,,
Moderately important,Extremely important,Very important,Very important,Very important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Very important,Moderately important,Extremely important,Very important,Very important,Extremely important,,"If the class is more than hour long, I feel it is important to include a small break. So the class attention is not lost. I also this that feedback on hw and what to improve is important for resubmitions."
Moderately important,Very important,Extremely important,Very important,Very important,Not only teach but encourage their students to try beyond the classroom. ,Very important,Very important,Extremely important,Extremely important,Very important,Patience. A well organized and structured class will have a steady pace corresponding to the students. ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,to treat teaching like a hobby rather than a job. ,"Based on my experiences, I feel that most professors don't express a sense of love for their field. Most Professors are just here to teach and don't interact with students enough to make them also love the field they are studying. "
Very important,Moderately important,Very important,Very important,Moderately important,provide feedback on mistakes & give plenty of examples on material that is reviewed.,Extremely important,Moderately important,Extremely important,Very important,Extremely important,"grading, workload, and how much work is actually given to help support student",Very important,Very important,Extremely important,Extremely important,Extremely important,Very important,Moderately important,"use real world examples, not just theory","Workload, clarified grading structure, amount of real world problems"
Very important,Very important,Very important,Very important,Very important,offering more accessible times for office hours.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,a clear and organized plan.,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,to create opportunities in assignments or projects for creative input.,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"interact with me during class discussions, and get back to me after hours if I need help with anything relating to class. Also pointing me in the right direction if I am lost during projects, and assignments. ",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Extremely important,Slightly important,Extremely important,,Moderately important,To ask questions about something is going while working on an assignment.,,,,,,,,,,,,,,,
Very important,Very important,Very important,Very important,Very important,Offering help ,Very important,Very important,Very important,Very important,Very important,knowing where everything js,Very important,Very important,Very important,Very important,Very important,Very important,Very important,The lab projects ,
Very important,Very important,Very important,Very important,Moderately important,,Very important,Extremely important,Extremely important,Extremely important,Very important,,Very important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,,
Moderately important,Very important,Very important,Extremely important,Very important,Be kind and respectful,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,a well organized and knows what to do professor,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"for them to be excited, engaging and interactive with us too.",
